date,time,open,high,low,close,Volume
10-06-2021,12:30:00,15711.65,15717.55,15711.65,15716.25,0
10-06-2021,12:35:00,15716.35,15724.75,15716.35,15720.6,0
10-06-2021,12:40:00,15719.6,15721.4,15690.4,15696.85,0
10-06-2021,12:45:00,15697.8,15705.15,15694.1,15703.25,0
10-06-2021,12:50:00,15703.45,15709.05,15701,15701.75,0
10-06-2021,12:55:00,15701.85,15709.45,15701.05,15701.65,0
10-06-2021,13:00:00,15701.35,15713.1,15696.55,15708.8,0
10-06-2021,13:05:00,15709,15713.45,15708.15,15712.3,0
10-06-2021,13:10:00,15713.2,15714,15705.75,15706.9,0
10-06-2021,13:15:00,15706.6,15736.05,15706.5,15736.05,0
10-06-2021,13:20:00,15735.6,15738.25,15726.7,15734.95,0
10-06-2021,13:25:00,15734.3,15737.55,15724.55,15729.3,0
10-06-2021,13:30:00,15729.45,15733.2,15725.5,15730.75,0
10-06-2021,13:35:00,15730.6,15732.4,15726,15728.4,0
10-06-2021,13:40:00,15728.8,15733.1,15711,15716.3,0
10-06-2021,13:45:00,15716.7,15744.55,15714.8,15732.75,0
10-06-2021,13:50:00,15733.05,15734.9,15723.85,15730.85,0
10-06-2021,13:55:00,15730.75,15732.75,15725.4,15727.1,0
10-06-2021,14:00:00,15727.15,15727.65,15719.05,15722.1,0
10-06-2021,14:05:00,15722.7,15730.2,15719.95,15722.4,0
10-06-2021,14:10:00,15722.9,15731.35,15722.85,15727.6,0
10-06-2021,14:15:00,15727.55,15742.6,15723.8,15740.2,0
10-06-2021,14:20:00,15740,15745.5,15733.95,15737.9,0
10-06-2021,14:25:00,15737.75,15743.8,15733.35,15733.85,0
10-06-2021,14:30:00,15733.85,15739.6,15729.85,15739.6,0
10-06-2021,14:35:00,15739.65,15746.95,15739.65,15742.75,0
10-06-2021,14:40:00,15742.3,15746.2,15739.95,15742.45,0
10-06-2021,14:45:00,15743,15751.25,15731.45,15738.25,0
10-06-2021,14:50:00,15738.2,15740.2,15731.7,15732.95,0
10-06-2021,14:55:00,15733.3,15734.25,15726.45,15729.15,0
10-06-2021,15:00:00,15729.9,15742.65,15729.45,15741.55,0
10-06-2021,15:05:00,15742.45,15748.7,15741.15,15746.35,0
10-06-2021,15:10:00,15746.95,15749.1,15733.5,15734.65,0
10-06-2021,15:15:00,15733.35,15737.85,15732.45,15734.6,0
10-06-2021,15:20:00,15735.2,15742.7,15729.55,15741.4,0
10-06-2021,15:25:00,15741.5,15745.95,15738.25,15745.15,0
11-06-2021,09:15:00,15800.8,15815.9,15788.9,15812.1,0
11-06-2021,09:20:00,15810.75,15823,15810.45,15815.55,0
11-06-2021,09:25:00,15815.15,15815.6,15803.35,15807.9,0
11-06-2021,09:30:00,15808.35,15834.95,15807.45,15829,0
11-06-2021,09:35:00,15828.15,15831.05,15820.05,15825,0
11-06-2021,09:40:00,15824.8,15826.1,15820.05,15821.3,0
11-06-2021,09:45:00,15822.35,15823.55,15813.05,15821.4,0
11-06-2021,09:50:00,15821.2,15825.1,15814.9,15817.2,0
11-06-2021,09:55:00,15815.9,15820.05,15812.7,15815.9,0
11-06-2021,10:00:00,15815.3,15824.2,15811.8,15819.2,0
11-06-2021,10:05:00,15818.15,15826.3,15817.25,15819.05,0
11-06-2021,10:10:00,15818.9,15819.4,15808.8,15808.9,0
11-06-2021,10:15:00,15809.1,15813.2,15802,15806.4,0
11-06-2021,10:20:00,15806.45,15818.25,15805.8,15816.8,0
11-06-2021,10:25:00,15816.55,15824.75,15816.4,15822.2,0
11-06-2021,10:30:00,15821.6,15822,15812.2,15818.7,0
11-06-2021,10:35:00,15819,15825.35,15817.75,15821.35,0
11-06-2021,10:40:00,15822.2,15825.5,15815.65,15816.2,0
11-06-2021,10:45:00,15816.75,15824.5,15813.6,15820.4,0
11-06-2021,10:50:00,15819.1,15824.9,15819.1,15823.1,0
11-06-2021,10:55:00,15823.55,15825.65,15817.35,15818.6,0
11-06-2021,11:00:00,15819.2,15820.2,15811.2,15819.35,0
11-06-2021,11:05:00,15819.75,15831.45,15818.3,15824.85,0
11-06-2021,11:10:00,15824.9,15824.9,15812.35,15812.9,0
11-06-2021,11:15:00,15813.35,15813.35,15798.05,15802.75,0
11-06-2021,11:20:00,15803.4,15806.45,15796.75,15797.35,0
11-06-2021,11:25:00,15797.5,15802.7,15788.4,15789.05,0
11-06-2021,11:30:00,15789.25,15794.5,15781.35,15784.1,0
11-06-2021,11:35:00,15783.4,15793.6,15780.7,15789.3,0
11-06-2021,11:40:00,15789.4,15795,15788.75,15793.75,0
11-06-2021,11:45:00,15794.1,15799.15,15790.55,15792.6,0
11-06-2021,11:50:00,15792.2,15795.6,15787.4,15793.9,0
11-06-2021,11:55:00,15794,15807.6,15793.3,15799.1,0
11-06-2021,12:00:00,15799.2,15807,15798.65,15806.05,0
